instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,dayofmonth,train
22,1/1/11,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,1,1
23,1/1/11,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,1,1
24,1/1/11,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,1,1
25,1/2/11,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2,1
26,1/2/11,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2,1
27,1/2/11,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,2,1
28,1/2/11,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2,1
29,1/2/11,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2,1
30,1/2/11,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2,1
31,1/2/11,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2,1
32,1/2/11,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2,1
33,1/2/11,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2,1
34,1/2/11,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2,1
35,1/2/11,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2,1
36,1/2/11,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2,1
37,1/2/11,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2,1
38,1/2/11,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2,1
39,1/2/11,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2,1
40,1/2/11,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2,1
41,1/2/11,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2,1
42,1/2/11,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2,1
43,1/2/11,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2,1
44,1/2/11,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2,1
45,1/2/11,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2,1
46,1/2/11,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2,1
47,1/2/11,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2,1
48,1/3/11,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,3,1
49,1/3/11,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,3,1
50,1/3/11,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,3,1
51,1/3/11,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3,1
52,1/3/11,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,3,1
53,1/3/11,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,3,1
54,1/3/11,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,3,1
55,1/3/11,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,3,1
56,1/3/11,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,3,1
57,1/3/11,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,3,1
58,1/3/11,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,3,1
59,1/3/11,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,3,1
60,1/3/11,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,3,1
61,1/3/11,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,3,1
62,1/3/11,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,3,1
63,1/3/11,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,3,1
64,1/3/11,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,3,1
65,1/3/11,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,3,1
66,1/3/11,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,3,1
67,1/3/11,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,3,1
68,1/3/11,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,3,1
69,1/3/11,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,3,1
70,1/4/11,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,4,1
71,1/4/11,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,4,1
72,1/4/11,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,4,1
73,1/4/11,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,4,1
74,1/4/11,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4,1
75,1/4/11,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4,1
76,1/4/11,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4,1
77,1/4/11,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,4,1
78,1/4/11,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,4,1
79,1/4/11,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,4,1
80,1/4/11,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,4,1
81,1/4/11,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,4,1
82,1/4/11,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,4,1
83,1/4/11,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,4,1
84,1/4/11,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,4,1
85,1/4/11,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,4,1
86,1/4/11,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,4,1
87,1/4/11,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,4,1
88,1/4/11,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,4,1
89,1/4/11,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,4,1
90,1/4/11,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,4,1
91,1/4/11,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,4,1
92,1/4/11,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,4,1
93,1/5/11,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,5,1
94,1/5/11,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,5,1
95,1/5/11,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,5,1
96,1/5/11,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,5,1
97,1/5/11,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5,1
98,1/5/11,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,5,1
99,1/5/11,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,5,1
100,1/5/11,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,5,1
101,1/5/11,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,5,1
102,1/5/11,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,5,1
103,1/5/11,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,5,1
104,1/5/11,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,5,1
105,1/5/11,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,5,1
106,1/5/11,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,5,1
107,1/5/11,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,5,1
108,1/5/11,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,5,1
109,1/5/11,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,5,1
110,1/5/11,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,5,1
111,1/5/11,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,5,1
112,1/5/11,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,5,1
113,1/5/11,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,5,1
114,1/5/11,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,5,1
115,1/5/11,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,5,1
116,1/6/11,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,6,1
117,1/6/11,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,6,1
118,1/6/11,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,6,1
119,1/6/11,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,6,1
120,1/6/11,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,6,1
121,1/6/11,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6,1
122,1/6/11,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,6,1
123,1/6/11,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,6,1
124,1/6/11,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,6,1
125,1/6/11,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,6,1
126,1/6/11,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,6,1
127,1/6/11,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,6,1
128,1/6/11,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,6,1
129,1/6/11,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,6,1
130,1/6/11,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,6,1
131,1/6/11,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,6,1
132,1/6/11,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,6,1
133,1/6/11,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,6,1
134,1/6/11,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,6,1
135,1/6/11,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,6,1
136,1/6/11,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,6,1
137,1/6/11,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,6,1
138,1/6/11,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,6,1
139,1/7/11,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,7,1
140,1/7/11,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,7,1
141,1/7/11,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,7,1
142,1/7/11,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,7,1
143,1/7/11,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,7,1
144,1/7/11,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,7,1
145,1/7/11,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,7,1
146,1/7/11,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,7,1
147,1/7/11,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,7,1
148,1/7/11,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,7,1
149,1/7/11,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,7,1
150,1/7/11,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,7,1
151,1/7/11,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,7,1
152,1/7/11,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,7,1
153,1/7/11,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,7,1
154,1/7/11,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,7,1
155,1/7/11,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,7,1
156,1/7/11,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,7,1
157,1/7/11,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,7,1
158,1/7/11,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,7,1
159,1/7/11,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,7,1
160,1/7/11,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,7,1
161,1/7/11,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,7,1
162,1/8/11,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,8,1
163,1/8/11,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,8,1
164,1/8/11,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,8,1
165,1/8/11,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,8,1
166,1/8/11,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,8,1
167,1/8/11,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,8,1
168,1/8/11,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,8,1
169,1/8/11,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,8,1
170,1/8/11,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,8,1
171,1/8/11,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,8,1
172,1/8/11,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,8,1
173,1/8/11,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,8,1
174,1/8/11,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,8,1
175,1/8/11,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,8,1
176,1/8/11,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,8,1
177,1/8/11,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,8,1
178,1/8/11,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,8,1
179,1/8/11,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,8,1
180,1/8/11,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,8,1
181,1/8/11,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,8,1
182,1/8/11,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,8,1
183,1/8/11,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,8,1
184,1/8/11,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,8,1
185,1/8/11,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,8,1
186,1/9/11,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,9,1
187,1/9/11,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,9,1
188,1/9/11,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,9,1
189,1/9/11,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,9,1
190,1/9/11,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,9,1
191,1/9/11,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,9,1
192,1/9/11,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,9,1
193,1/9/11,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,9,1
194,1/9/11,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,9,1
195,1/9/11,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,9,1
196,1/9/11,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,9,1
197,1/9/11,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,9,1
198,1/9/11,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,9,1
199,1/9/11,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,9,1
200,1/9/11,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,9,1
201,1/9/11,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,9,1
202,1/9/11,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,9,1
203,1/9/11,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,9,1
204,1/9/11,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,9,1
205,1/9/11,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,9,1
206,1/9/11,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,9,1
207,1/9/11,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,9,1
208,1/9/11,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,9,1
209,1/9/11,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,9,1
210,1/10/11,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,10,1
211,1/10/11,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,10,1
212,1/10/11,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,10,1
213,1/10/11,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,10,1
214,1/10/11,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,10,1
215,1/10/11,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,10,1
216,1/10/11,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,10,1
217,1/10/11,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,10,1
218,1/10/11,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,10,1
219,1/10/11,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,10,1
220,1/10/11,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,10,1
221,1/10/11,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,10,1
222,1/10/11,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,10,1
223,1/10/11,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,10,1
224,1/10/11,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,10,1
225,1/10/11,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,10,1
226,1/10/11,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,10,1
227,1/10/11,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,10,1
228,1/10/11,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,10,1
229,1/10/11,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,10,1
230,1/10/11,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,10,1
231,1/10/11,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,10,1
232,1/10/11,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,10,1
233,1/10/11,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,10,1
234,1/11/11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,11,1
235,1/11/11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,11,1
236,1/11/11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,11,1
237,1/11/11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,11,1
238,1/11/11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,11,1
239,1/11/11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99,11,1
240,1/11/11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,11,1
241,1/11/11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,11,1
242,1/11/11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,11,1
243,1/11/11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,11,1
244,1/11/11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,11,1
245,1/11/11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,11,1
246,1/11/11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,11,1
247,1/11/11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,11,1
248,1/11/11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,11,1
249,1/11/11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,11,1
250,1/11/11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,11,1
251,1/11/11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51,11,1
252,1/11/11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,11,1
253,1/11/11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,11,1
254,1/11/11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,11,1
255,1/11/11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,11,1
256,1/12/11,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,12,1
257,1/12/11,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,12,1
258,1/12/11,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,12,1
259,1/12/11,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,12,1
260,1/12/11,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,12,1
261,1/12/11,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,12,1
262,1/12/11,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,12,1
263,1/12/11,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,12,1
264,1/12/11,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,12,1
265,1/12/11,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,12,1
266,1/12/11,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,12,1
267,1/12/11,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,12,1
268,1/12/11,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,12,1
269,1/12/11,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49,12,1
